iter	Passed	Remaining
0	5	5541
1	10	5228
2	16	5638
3	22	5487
4	27	5391
5	32	5374
6	37	5281
7	42	5218
8	46	5146
9	51	5082
10	56	5074
11	61	5065
12	66	5051
13	76	5412
14	82	5403
15	87	5360
16	91	5307
17	96	5285
18	113	5866
19	121	5938
20	125	5857
21	131	5835
22	137	5828
23	142	5780
24	147	5735
25	151	5690
26	157	5680
27	162	5651
28	167	5612
29	172	5585
30	178	5576
31	183	5558
32	187	5507
33	193	5488
34	198	5475
35	203	5450
36	209	5447
37	214	5427
38	218	5393
39	223	5371
40	227	5330
41	231	5275
42	235	5246
43	241	5245
44	246	5235
45	251	5221
46	257	5229
47	263	5231
48	268	5219
49	275	5234
50	280	5215
51	284	5193
52	290	5197
53	296	5186
54	301	5175
55	306	5168
56	311	5152
57	316	5144
58	320	5119
59	326	5110
60	331	5109
61	336	5091
62	342	5091
63	346	5072
64	350	5043
65	354	5015
66	359	5009
67	365	5004
68	369	4985
69	375	4993
70	380	4975
71	385	4965
72	391	4967
73	396	4958
74	400	4942
75	405	4935
76	411	4930
77	416	4922
78	421	4916
79	426	4905
80	430	4889
81	435	4874
82	441	4875
83	445	4863
84	450	4848
85	454	4835
86	460	4832
87	466	4836
88	475	4864
89	481	4863
90	488	4882
91	494	4883
92	500	4884
93	508	4903
94	515	4913
95	525	4951
96	530	4937
97	536	4934
98	541	4931
99	546	4921
100	552	4915
101	557	4911
102	562	4898
103	567	4886
104	573	4887
105	578	4876
106	583	4867
107	588	4864
108	594	4855
109	598	4841
110	603	4834
111	609	4833
112	614	4823
113	620	4824
114	626	4817
115	631	4810
116	636	4806
117	641	4793
118	647	4791
119	652	4782
120	657	4773
121	662	4765
122	666	4754
123	672	4747
124	676	4736
125	681	4727
126	686	4717
127	690	4705
128	696	4699
129	701	4694
130	705	4681
131	710	4673
132	715	4664
133	720	4655
134	725	4647
135	730	4639
136	735	4633
137	741	4628
138	746	4622
139	751	4614
140	755	4603
141	759	4591
142	764	4580
143	769	4572
144	774	4566
145	779	4557
146	784	4550
147	788	4540
148	793	4532
149	799	4528
150	804	4521
151	810	4521
152	815	4512
153	820	4505
154	824	4494
155	829	4486
156	834	4481
157	839	4471
158	843	4461
159	848	4452
160	852	4444
161	857	4436
162	861	4424
163	866	4418
164	870	4407
165	875	4397
166	879	4388
167	884	4380
168	889	4375
169	894	4368
170	899	4362
171	904	4354
172	909	4346
173	913	4338
174	918	4328
175	923	4322
176	927	4314
177	932	4306
178	937	4300
179	942	4295
180	948	4290
181	952	4280
182	957	4273
183	962	4267
184	967	4261
185	971	4252
186	977	4248
187	981	4240
188	985	4228
189	989	4218
190	994	4212
191	999	4205
192	1003	4197
193	1008	4190
194	1013	4182
195	1017	4174
196	1022	4167
197	1027	4160
198	1031	4153
199	1037	4148
200	1041	4140
201	1046	4134
202	1050	4125
203	1055	4118
204	1060	4112
205	1065	4107
206	1069	4098
207	1074	4091
208	1079	4084
209	1083	4075
210	1088	4069
211	1093	4063
212	1098	4057
213	1103	4053
214	1108	4046
215	1113	4041
216	1118	4034
217	1122	4026
218	1127	4020
219	1132	4014
220	1137	4008
221	1141	4001
222	1146	3994
223	1151	3988
224	1155	3980
225	1161	3977
226	1166	3971
227	1171	3965
228	1175	3958
229	1180	3953
230	1185	3946
231	1191	3945
232	1196	3939
233	1204	3943
234	1210	3941
235	1219	3947
236	1226	3948
237	1233	3947
238	1238	3943
239	1244	3940
240	1251	3942
241	1259	3944
242	1264	3940
243	1270	3935
244	1275	3929
245	1280	3925
246	1286	3923
247	1292	3919
248	1298	3916
249	1308	3926
250	1321	3943
251	1327	3939
252	1333	3938
253	1338	3931
254	1343	3923
255	1347	3915
256	1352	3910
257	1356	3902
258	1361	3895
259	1365	3886
260	1370	3880
261	1375	3874
262	1380	3868
263	1385	3863
264	1390	3856
265	1394	3849
266	1399	3840
267	1403	3833
268	1408	3828
269	1413	3821
270	1418	3814
271	1423	3808
272	1428	3802
273	1432	3796
274	1437	3789
275	1441	3782
276	1446	3776
277	1451	3768
278	1455	3762
279	1460	3756
280	1466	3751
281	1471	3745
282	1476	3739
283	1480	3732
284	1485	3727
285	1490	3720
286	1495	3714
287	1499	3708
288	1505	3703
289	1510	3697
290	1514	3690
291	1519	3683
292	1524	3679
293	1530	3674
294	1537	3674
295	1542	3667
296	1546	3661
297	1551	3655
298	1556	3648
299	1561	3642
300	1566	3636
301	1570	3629
302	1575	3624
303	1580	3617
304	1585	3612
305	1590	3607
306	1595	3601
307	1600	3594
308	1605	3590
309	1611	3586
310	1615	3579
311	1620	3573
312	1624	3566
313	1630	3561
314	1634	3554
315	1639	3549
316	1644	3542
317	1648	3535
318	1652	3528
319	1657	3523
320	1662	3516
321	1667	3510
322	1672	3504
323	1676	3498
324	1681	3492
325	1686	3486
326	1691	3480
327	1695	3474
328	1701	3469
329	1705	3463
330	1710	3457
331	1715	3452
332	1720	3446
333	1725	3441
334	1730	3435
335	1736	3431
336	1741	3425
337	1745	3419
338	1750	3412
339	1755	3406
340	1759	3399
341	1763	3393
342	1768	3387
343	1773	3382
344	1778	3376
345	1782	3369
346	1787	3363
347	1791	3357
348	1797	3352
349	1801	3345
350	1806	3339
351	1810	3333
352	1814	3326
353	1819	3320
354	1824	3314
355	1829	3309
356	1834	3303
357	1839	3298
358	1844	3292
359	1848	3286
360	1853	3281
361	1858	3275
362	1863	3269
363	1867	3262
364	1872	3258
365	1878	3253
366	1883	3248
367	1888	3243
368	1892	3236
369	1897	3230
370	1902	3225
371	1908	3221
372	1914	3218
373	1919	3212
374	1923	3206
375	1928	3201
376	1934	3196
377	1938	3190
378	1946	3188
379	1951	3183
380	1955	3177
381	1960	3171
382	1964	3165
383	1970	3160
384	1974	3153
385	1979	3148
386	1983	3142
387	1988	3136
388	1993	3131
389	1998	3125
390	2004	3122
391	2010	3117
392	2014	3112
393	2019	3105
394	2023	3099
395	2028	3093
396	2033	3088
397	2037	3081
398	2042	3076
399	2046	3070
400	2050	3063
401	2054	3056
402	2058	3049
403	2063	3044
404	2069	3040
405	2074	3034
406	2078	3028
407	2083	3023
408	2088	3018
409	2093	3013
410	2098	3007
411	2104	3002
412	2108	2997
413	2113	2991
414	2118	2986
415	2123	2981
416	2128	2976
417	2133	2970
418	2139	2966
419	2143	2960
420	2148	2954
421	2153	2949
422	2158	2944
423	2163	2939
424	2168	2934
425	2173	2929
426	2178	2923
427	2184	2919
428	2189	2913
429	2194	2909
430	2199	2903
431	2204	2898
432	2209	2893
433	2214	2888
434	2219	2883
435	2225	2878
436	2230	2873
437	2235	2867
438	2239	2861
439	2244	2856
440	2248	2850
441	2253	2844
442	2257	2838
443	2262	2833
444	2267	2828
445	2271	2822
446	2276	2816
447	2281	2811
448	2286	2806
449	2291	2800
450	2296	2795
451	2301	2789
452	2306	2784
453	2311	2780
454	2316	2774
455	2321	2768
456	2326	2763
457	2331	2758
458	2338	2755
459	2342	2749
460	2347	2744
461	2352	2739
462	2357	2733
463	2362	2728
464	2367	2723
465	2372	2718
466	2376	2712
467	2381	2707
468	2386	2701
469	2390	2695
470	2395	2690
471	2415	2702
472	2424	2701
473	2428	2695
474	2433	2689
475	2438	2684
476	2443	2679
477	2448	2673
478	2452	2668
479	2458	2663
480	2462	2657
481	2467	2652
482	2473	2647
483	2478	2642
484	2482	2636
485	2487	2630
486	2493	2626
487	2497	2620
488	2502	2614
489	2506	2609
490	2512	2605
491	2518	2600
492	2522	2594
493	2527	2588
494	2531	2582
495	2535	2576
496	2539	2570
497	2543	2564
498	2548	2558
499	2552	2552
500	2557	2547
501	2562	2542
502	2567	2536
503	2571	2530
504	2575	2524
505	2579	2518
506	2583	2512
507	2587	2505
508	2591	2500
509	2596	2494
510	2600	2488
511	2604	2482
512	2608	2476
513	2613	2470
514	2616	2464
515	2620	2458
516	2625	2452
517	2629	2446
518	2632	2440
519	2637	2434
520	2641	2428
521	2645	2422
522	2649	2416
523	2653	2410
524	2657	2404
525	2661	2398
526	2665	2392
527	2670	2387
528	2676	2382
529	2681	2377
530	2685	2372
531	2700	2375
532	2705	2370
533	2712	2366
534	2717	2362
535	2723	2358
536	2730	2354
537	2735	2349
538	2740	2344
539	2748	2341
540	2753	2335
541	2757	2330
542	2762	2324
543	2767	2319
544	2771	2314
545	2775	2308
546	2779	2301
547	2782	2295
548	2786	2289
549	2790	2283
550	2793	2276
551	2798	2270
552	2803	2266
553	2808	2261
554	2813	2256
555	2818	2250
556	2823	2245
557	2828	2240
558	2833	2235
559	2838	2230
560	2843	2224
561	2848	2219
562	2852	2214
563	2857	2209
564	2862	2204
565	2867	2198
566	2873	2194
567	2878	2189
568	2883	2183
569	2888	2179
570	2894	2174
571	2898	2168
572	2904	2164
573	2909	2159
574	2913	2153
575	2918	2148
576	2923	2143
577	2928	2138
578	2934	2133
579	2940	2129
580	2945	2124
581	2951	2119
582	2956	2114
583	2961	2109
584	2966	2104
585	2972	2099
586	2977	2094
587	2983	2090
588	2988	2085
589	2993	2080
590	2998	2074
591	3003	2070
592	3008	2064
593	3013	2059
594	3019	2055
595	3023	2049
596	3028	2044
597	3033	2039
598	3038	2033
599	3042	2028
600	3047	2023
601	3053	2018
602	3058	2013
603	3064	2009
604	3069	2004
605	3073	1998
606	3078	1993
607	3083	1987
608	3087	1982
609	3092	1977
610	3097	1972
611	3101	1966
612	3106	1961
613	3111	1956
614	3117	1951
615	3121	1946
616	3125	1940
617	3130	1934
618	3135	1929
619	3140	1924
620	3145	1919
621	3150	1914
622	3155	1909
623	3159	1904
624	3164	1898
625	3168	1893
626	3174	1888
627	3179	1883
628	3184	1878
629	3188	1872
630	3193	1867
631	3198	1862
632	3203	1857
633	3208	1851
634	3213	1846
635	3218	1841
636	3222	1836
637	3227	1831
638	3232	1826
639	3237	1821
640	3241	1815
641	3246	1810
642	3251	1805
643	3257	1800
644	3262	1795
645	3267	1790
646	3272	1785
647	3276	1779
648	3281	1774
649	3286	1769
650	3290	1763
651	3294	1758
652	3300	1753
653	3305	1748
654	3309	1743
655	3315	1738
656	3320	1733
657	3325	1728
658	3330	1723
659	3335	1718
660	3340	1713
661	3345	1708
662	3350	1703
663	3355	1697
664	3359	1692
665	3364	1687
666	3368	1681
667	3373	1676
668	3378	1671
669	3383	1666
670	3388	1661
671	3393	1656
672	3398	1651
